Year,Region,Poverty Gap,Poverty Line
2012,Uganda,11.3,$2.15
2016,Uganda,13.73,$2.15
2019,Uganda,13.67,$2.15
1992,Ukraine,0.93,$2.15
1993,Ukraine,0.4,$2.15
1995,Ukraine,1.87,$2.15
1996,Ukraine,1.92,$2.15
1999,Ukraine,2.41,$2.15
2002,Ukraine,0.48,$2.15
2003,Ukraine,0.2,$2.15
2004,Ukraine,0.14,$2.15
2005,Ukraine,0.07,$2.15
2006,Ukraine,0.03,$2.15
2007,Ukraine,0.02,$2.15
2008,Ukraine,0,$2.15
2009,Ukraine,0.01,$2.15
2010,Ukraine,0,$2.15
2011,Ukraine,0,$2.15
2012,Ukraine,0,$2.15
2013,Ukraine,0,$2.15
2014,Ukraine,0,$2.15
2015,Ukraine,0.02,$2.15
2016,Ukraine,0.01,$2.15
2017,Ukraine,0,$2.15
2018,Ukraine,0,$2.15
2019,Ukraine,0,$2.15
2020,Ukraine,0.01,$2.15
2013,United Arab Emirates,0,$2.15
2018,United Arab Emirates,0,$2.15
1981,Uruguay,0,$2.15
1989,Uruguay,0.19,$2.15
1992,Uruguay,0.15,$2.15
1995,Uruguay,0.15,$2.15
1996,Uruguay,0.16,$2.15
1997,Uruguay,0.17,$2.15
1998,Uruguay,0.16,$2.15
2000,Uruguay,0.12,$2.15
2001,Uruguay,0.1,$2.15
2002,Uruguay,0.12,$2.15
2003,Uruguay,0.18,$2.15
2004,Uruguay,0.21,$2.15
2005,Uruguay,0.16,$2.15
2006,Uruguay,0.13,$2.15
2007,Uruguay,0.09,$2.15
2008,Uruguay,0.05,$2.15
2009,Uruguay,0.06,$2.15
2010,Uruguay,0.06,$2.15
2011,Uruguay,0.04,$2.15
2012,Uruguay,0.04,$2.15
2013,Uruguay,0.05,$2.15
2014,Uruguay,0.04,$2.15
2015,Uruguay,0.04,$2.15
2016,Uruguay,0.03,$2.15
2017,Uruguay,0.03,$2.15
2018,Uruguay,0.03,$2.15
2019,Uruguay,0.04,$2.15
2020,Uruguay,0.08,$2.15
2021,Uruguay,0.05,$2.15
1998,Uzbekistan,27.7,$2.15
2000,Uzbekistan,38.43,$2.15
2002,Uzbekistan,34.53,$2.15
2003,Uzbekistan,37.85,$2.15
1998,"Yemen, Rep.",1.75,$2.15
2005,"Yemen, Rep.",2.02,$2.15
2014,"Yemen, Rep.",4.78,$2.15
1991,Zambia,37.02,$2.15
1993,Zambia,30.86,$2.15
1996,Zambia,18.95,$2.15
1998,Zambia,19.8,$2.15
2002,Zambia,21.32,$2.15
2004,Zambia,30.7,$2.15
2006,Zambia,33.64,$2.15
2010,Zambia,35.39,$2.15
2015,Zambia,32.77,$2.15
2011,Zimbabwe,5.24,$2.15
2017,Zimbabwe,9.38,$2.15
2019,Zimbabwe,13.5,$2.15
